names,scores,logfoldchanges,pvals,pvals_adj
RPL3,7.3129525,0.25496018,2.61335549681052e-13,6.77341539304105e-11
MNDA,7.262868,0.6910135,3.7896765697366975e-13,9.747279567992998e-11
ARPC1B,6.9026465,0.3948228,5.104245712926036e-12,1.2372838492901428e-09
EIF1,6.752041,0.2043377,1.4577987501932324e-11,3.411046603403526e-09
RPS27A,6.7506914,0.19318834,1.4714236857457413e-11,3.419182735690828e-09
NEAT1,6.678785,0.5555586,2.4093121895637582e-11,5.522405776541583e-09
RPS4X,6.6529145,0.21256113,2.8734463312284493e-11,6.454526712294091e-09
CYBB,6.6400948,0.5871478,3.1348184481584287e-11,6.9950048206788145e-09
EIF5A,6.616448,0.96066934,3.679324356930581e-11,8.102689861596013e-09
RPL13A,6.5888753,0.20119986,4.431704503253502e-11,9.633667840814419e-09
MTRNR2L8,6.5432076,0.6201545,6.021318640866971e-11,1.3005276300344342e-08
CSTA,6.361027,0.5551107,2.0040969616566837e-10,4.194164163109335e-08
IGLC7,6.358588,3.267322,2.0361626449334e-10,4.23496692335716e-08
RBM3,6.3509054,0.48006415,2.1405122550678456e-10,4.3710557528639994e-08
VMP1,6.340984,0.61348253,2.283027535586357e-10,4.633995770123296e-08
UQCRB,6.2405386,0.25482717,4.3606617390967917e-10,8.34818958165496e-08
C1orf56,6.149847,1.1505053,7.755768684305355e-10,1.4125560543188357e-07
RPS16,6.062023,0.14992513,1.344199757946936e-09,2.358930554388753e-07
CSF3R,6.0608115,1.0513368,1.3543644820888242e-09,2.364453723290199e-07
RPL5,6.056579,0.16170512,1.390468210254506e-09,2.414970921459553e-07
RPS12,6.041934,0.18787707,1.5227771938179405e-09,2.617778304515392e-07
RPS3,6.0176587,0.2141058,1.7695791529048856e-09,2.9961909536671966e-07
RPLP2,5.9796734,0.16963303,2.235852102590597e-09,3.67486832900915e-07
RPL9,5.9740763,0.18405621,2.313975435143231e-09,3.766526005396909e-07
RPS15,5.941796,0.13738157,2.8191630146692604e-09,4.5018425884486286e-07
UBA52,5.9085956,0.15631576,3.4503693112325653e-09,5.407290398728839e-07
TKT,5.8614707,0.52031934,4.587854775196176e-09,7.15662864793796e-07
RPS20,5.8527756,0.16790114,4.834359502925219e-09,7.506401340624992e-07
MT-ND5,5.8273807,0.27648383,5.6304045965761585e-09,8.662596003517675e-07
PFDN5,5.824452,0.1723955,5.730038045898162e-09,8.775813723567849e-07
TXNIP,5.798014,0.30378133,6.710482033717259e-09,1.0093883109110237e-06
ACTG1,5.76558,0.23463136,8.137731546477368e-09,1.2186343410089265e-06
RPL10,5.7620535,0.1681388,8.309675194519927e-09,1.23887697346971e-06
IGHG3,5.699624,1.3092607,1.2007186920295111e-08,1.7142803224255233e-06
TRBC1,5.6191916,2.0456398,1.918530326220195e-08,2.6711967277546797e-06
RPS13,5.614836,0.16029957,1.9674829596455274e-08,2.709172566204911e-06
HLA-DQB2,5.614668,2.916641,1.969403204687467e-08,2.709172566204911e-06
RPL8,5.5990105,0.1589056,2.155786240242369e-08,2.9289137733357413e-06
CDC42,5.537854,0.36522308,3.0619990952539e-08,4.077905040137744e-06
RPS2,5.419958,0.15023515,5.961301675423475e-08,7.551131528260096e-06
RPL30,5.3923087,0.174815,6.955805945458345e-08,8.745109161428115e-06
HCST,5.2943482,0.37221986,1.1944157160902275e-07,1.452875203535889e-05
PTP4A2,5.287248,0.45904934,1.241701203645492e-07,1.5049597250227054e-05
RPL21,5.284181,0.14475672,1.2626824895898323e-07,1.5194579930085645e-05
MT-ND1,5.282755,0.17914672,1.2725552259881812e-07,1.525888817951807e-05
VIM,5.2742596,0.28562173,1.3329328889177517e-07,1.5814028436336173e-05
BTF3,5.2265058,0.19482608,1.7274332181360283e-07,2.0001420911297367e-05
RPL24,5.125601,0.12509021,2.9659014235806303e-07,3.276494510364779e-05
CAST,5.1249723,0.5455519,2.9758157797179095e-07,3.276703819667165e-05
ARPC4,5.0726643,0.4173765,3.922842855630059e-07,4.2364188197948466e-05
LGALS1,5.0377154,0.46451768,4.711208147819095e-07,5.0234002320448284e-05
RPL27A,5.0028744,0.1411243,5.648178737066941e-07,5.92865216095743e-05
S100A6,4.923914,0.50730914,8.483018915330768e-07,8.717649851511007e-05
CD27,4.9139614,1.8050126,8.925433561797218e-07,9.140837642285578e-05
CD93,4.8429294,1.00165,1.2793885785456115e-06,0.00012791607942289564
RPL27,4.82922,0.1413211,1.3706913101123042e-06,0.00013583550883212935
EEF1B2,4.693366,0.15618333,2.687459235808924e-06,0.0002522318983045846
RPS7,4.6760836,0.14762795,2.924056593666229e-06,0.00027367545240830534
RPL10A,4.6465483,0.20503472,3.3753552187703937e-06,0.0003090467900577436
RPL6,4.5717893,0.13154195,4.8357662180147295e-06,0.00042446862498813845
CDC42EP3,4.5602574,1.0696833,5.109093172188549e-06,0.00044597353715989887
NACA,4.4979815,0.10255001,6.86016022856976e-06,0.0005822452126145231
AP1S2,4.497813,0.36178637,6.865603948800184e-06,0.0005822452126145231
N4BP2L2,4.497491,0.3458229,6.8760079815856445e-06,0.0005822452126145231
RPS19,4.4932127,0.14381607,7.01567212299888e-06,0.0005909651412808106
RPL14,4.4714675,0.12011309,7.768473190246273e-06,0.0006447067381087633
FYB,4.4376535,0.39699075,9.094488692147697e-06,0.0007437614126049139
TNFRSF1B,4.3709917,0.4944411,1.2368343719507588e-05,0.000985198518404465
CDC42SE1,4.3624043,0.66704404,1.2864095017314992e-05,0.0010174714026136417
RPL19,4.3188677,0.117120266,1.568316673815507e-05,0.001209218810241183
DNMT3A,4.3182697,1.5897081,1.5725715527232373e-05,0.001209731184873442
FCN1,4.2752857,0.44659668,1.9089251614808026e-05,0.0014519034851226671
RPL11,4.2277775,0.10846293,2.3601112886267652e-05,0.0017632281543013353
ARPC2,4.21212,0.21035193,2.5298479316507645e-05,0.0018858561108194881
IL17RA,4.150013,1.1294017,3.324561985642187e-05,0.0024246275226023346
TYROBP,4.1328993,0.49171558,3.582158975406204e-05,0.0025956400971470246
TOMM7,4.12629,0.0784818,3.686627383422632e-05,0.002659897710000903
CCNI,4.07987,0.18177126,4.506081135141992e-05,0.0032003855260477696
RPL4,4.0566225,0.10196,4.97874705283807e-05,0.0035094958828101657
KLF6,4.0205083,0.3792008,5.8072706633854596e-05,0.0040326929266572
NPM1,3.9372387,0.16236144,8.242459384156454e-05,0.005543341846103145
LDHB,3.8883352,0.49534798,0.00010093419640490801,0.006629389500325478
RPS23,3.8790421,0.14868365,0.00010486862045586803,0.00682131910741316
CLEC7A,3.8493226,0.45766407,0.00011844490084380327,0.007611680370949345
DAZAP2,3.8477125,0.32245266,0.00011922586230397174,0.007637255141577992
RPL18,3.8323007,0.12702417,0.00012695043073651267,0.008025267942281535
NAP1L1,3.8187752,0.14365737,0.00013411593301426733,0.00836833749441245
SET,3.8048663,0.3743152,0.00014188084733981451,0.008820172085364779
GZMK,3.7915246,1.9314542,0.000149725254430015,0.009205917377308259
EVI2B,3.7834737,0.26630044,0.00015465462584396799,0.009491681171560396
COX4I1,3.747329,0.12883577,0.00017872762350393758,0.010811577282480563
CD3E,3.7437098,1.5651939,0.00018132300481550663,0.010948919935938497
PRELID1,3.7223022,0.26329014,0.00019741462777553482,0.011856842189427575
NAAA,3.709298,0.58957475,0.0002078347462072275,0.012394307856117386
RPL15,3.6692886,0.11097765,0.00024322629405572132,0.014352481176731127
PRKCB,3.6311042,0.47490484,0.00028221108935421303,0.016479758136396627
CD14,3.5796857,0.35961774,0.0003440076549591569,0.019579381632084177
PRRG3,3.5500891,2.5632865,0.00038510090830466226,0.021411864693757904
MRPL41,3.5482488,0.5009166,0.0003878017023051565,0.021491102890575566
TYMP,3.5430963,0.2726453,0.0003954583908899437,0.021807815094346584
C10orf54,3.538557,0.34239483,0.00040232036507858977,0.022113837489327902
IL7R,3.5357814,1.8796432,0.0004065710075853987,0.022276095477088052
GPX1,3.5341558,0.24835165,0.0004090797741032653,0.022375866734797762
AC009501.4,3.5040379,2.1281815,0.00045826041036513336,0.024767402382987243
ITGB2,3.44075,0.24772795,0.0005801046484540917,0.030540696914081504
TRBC2,3.3599186,0.60861766,0.0007796545468875314,0.039742330261465175
RSL1D1,3.3374834,0.38484415,0.0008454079908692779,0.04270641206049393
CD3G,3.3313339,3.7079322,0.0008643085091760677,0.043465687922654365
S100A4,3.3220563,0.57211053,0.0008935669152601662,0.044604212804112656
MPEG1,3.318299,0.42973334,0.0009056744343686723,0.04491864820489657
PYURF,3.3162596,0.44009757,0.0009123105859063263,0.045072423579952725
RPS10,3.2607925,0.098774604,0.0011110130437574322,0.053098543966472234
RPL26,3.2437398,0.10254417,0.0011797142106417728,0.05590617526492812
CD36,3.2344007,0.56376904,0.0012189824790548745,0.057044993957326304
HNRNPH1,3.2264879,0.37899387,0.0012531952288784658,0.0584027109845519
CD2,3.1970139,1.261841,0.001388582485913291,0.06356915527223156
SSU72,3.1798847,0.3594523,0.0014733372572935048,0.06663439670771457
HLA-C,3.1602404,0.046791166,0.0015763905487197534,0.0702578083975706
FGR,3.074057,0.41571575,0.0021116900549689663,0.08995105526185126
SLFN5,3.0539374,1.3237978,0.0022585915356531077,0.09488900648665313
RPL36AL,3.0497355,0.037939064,0.0022904286726391112,0.09598719365161967
SURF1,3.0450125,0.69158393,0.0023267068215098883,0.09714505532088497
COX7A2L,3.028926,0.29770607,0.002454248442979619,0.10158900127488366
NAIP,2.9954188,0.8130224,0.0027406829787313676,0.11125852082575265
HMGN2,2.9929192,0.13097763,0.0027632295011834635,0.11203881445592734
IRF1,2.9094963,0.33130845,0.003620117400104222,0.14266226395217738
EGR1,2.899053,0.7713881,0.0037429156671108664,0.14698578145411834
CD48,2.8777986,0.1207958,0.004004607061928175,0.155093368212193
RP6-159A1.4,2.8677542,1.1639527,0.004133966661078219,0.15918842591813662
METTL9,2.8553786,0.4839613,0.004298553904493491,0.16421255698186357
FGD2,2.8451807,0.69278026,0.004438621186767495,0.16728736271470243
POLR2J3,2.843908,0.36986628,0.004456390569461466,0.1677694121200387
STXBP2,2.8412397,0.28881484,0.0044938514280886575,0.1688024860847483
CTSS,2.8164275,0.22109163,0.004856099109830742,0.1798037400072934
PRMT2,2.8088675,0.5128164,0.004971612348883491,0.18365077089295417
LYST,2.8085606,0.41145757,0.004976350502322881,0.18365077089295417
CTC-425F1.4,2.7919834,2.094526,0.00523860378948318,0.1904094024626173
CHP1,2.7778444,0.650137,0.005472080196352724,0.19804110648325315
SERPINB9,2.7770932,0.5183751,0.00548474727609227,0.19828656085906968
BTN3A2,2.7647943,0.7383427,0.005695869799132632,0.2040071985750865
KRR1,2.7453034,0.9452414,0.006045497496479293,0.2140574401743119
GPSM3,2.7451653,0.09656122,0.00604804069110064,0.2140574401743119
ICAM3,2.7286801,0.30876768,0.006358834180923576,0.22332307788846895
MSRB1,2.72684,0.724141,0.0063944043578176265,0.22373111156002815
RASSF2,2.7087598,0.8129605,0.006753519499482813,0.23291001639260378
RPL7A,2.7079778,0.045890436,0.006769454967157637,0.23322087491146157
ERAP2,2.698148,1.3829083,0.006972643182732927,0.23851394862842967
PPBP,2.689315,6.4988847,0.007159882150575267,0.24343599311955907
CCND3,2.6862173,0.43976104,0.007226607114261632,0.24496307857940788
KIF5B,2.6622486,0.4595659,0.007762053674574575,0.25843343528766377
SIGLEC14,2.655578,1.2660183,0.007917266936099916,0.26256337809542374
IFNGR2,2.6518054,0.32933745,0.008006267973908302,0.2649933134703991
PGAM1,2.6475422,0.29825625,0.00810792376399701,0.2678317483373679
SLC7A7,2.6267478,0.38784507,0.008620519369193079,0.28164357901827664
CXCR3,2.6182063,2.167136,0.008839337888777048,0.28776101528932735
SYNC,2.612793,1.4683589,0.008980570561759497,0.29207658736286146
FAM65B,2.6023343,0.34002873,0.009259153125059906,0.2999787551882389
RGS19,2.6011996,0.28812635,0.009289839604788746,0.30068381906220176
EIF3F,2.587214,0.07329679,0.009675549200220795,0.3116710848491773
SERP1,2.5850363,0.10173143,0.009736872441116894,0.3130478817089624
SUMO2,2.5738878,0.03703283,0.0100562889381992,0.3209533293326265
NKTR,2.567907,0.52625835,0.010231457853263933,0.3255323332463409
RPS17,2.5512686,0.08583954,0.010733160137195696,0.33925243683177464
TGFB1,2.5427575,0.3598418,0.010998152084027747,0.34600535604036503
PSMA3-AS1,2.537973,0.5688373,0.011149659260119673,0.3501180047627887
RPL31,2.511658,0.08158471,0.012016549333011911,0.37282284827486495
IGHGP,2.5026562,1.3692006,0.012326519694181958,0.3806872177596397
POLR1D,2.4979637,0.29120755,0.012490897471308788,0.3850579134476471
CCL5,2.4420674,0.61634076,0.014603423289410509,0.44024514732150083
LCK,2.4112132,1.0933622,0.01589955495978199,0.4707553645122095
MTDH,2.406812,0.20529178,0.01609245417012487,0.473967789167996
MYO1F,2.40146,0.2821079,0.016329794514249197,0.4780646391337403
RPL29,2.3847294,0.07284121,0.017091687722584133,0.49474856196284345
POLR2L,2.3827052,0.13019341,0.01718595188369556,0.4960833543606642
EIF3L,2.364211,0.12892745,0.018068515700656998,0.5172477213406431
RGCC,2.3464684,0.6461674,0.018952275424550847,0.5348224188901309
MBP,2.3447049,0.44411755,0.01904214836508488,0.5369089096344519
ADGRE5,2.3320534,0.4319914,0.019697883662792296,0.5507887901527997
AIM2,2.3313327,1.1595306,0.019735827382298423,0.5513921789545299
RPS6,2.3276215,0.0685532,0.019932209228018038,0.5554969873687674
CCR2,2.3235118,1.470844,0.02015167854285738,0.560685926360889
FGL2,2.2856493,0.1988694,0.022274778642017636,0.6047998746961646
NCF2,2.2763102,0.3598267,0.022827443303658376,0.6158109484975703
TNFAIP2,2.2738874,0.5487914,0.022972759364343537,0.6187403309529905
LST1,2.2533076,0.29775652,0.02423975613196514,0.6446206338677455
HECTD1,2.228526,0.8823012,0.02584544834787591,0.6770151276227316
PHKG1,2.1969512,1.4820976,0.02802393060013691,0.7202428052181641
ANXA1,2.183579,0.23421356,0.028993196995309476,0.7372805883471377
C9orf16,2.1781657,0.20161152,0.0293937006557249,0.7446551502962367
FKBP1A,2.1706975,0.09101451,0.02995404345429869,0.756575367428141
LRRK2,2.145502,0.7764211,0.03191273309518528,0.7872558114596188
BIN2,2.1313016,0.39676413,0.03306429613153462,0.806127636654072
TP53,2.1143565,0.7034827,0.03448483759413532,0.832926249388384
SIT1,2.097273,0.5909925,0.03596940497217081,0.8619865797527193
YBX1,2.0950496,0.059170827,0.03616658964249904,0.8642532421378458
TNFRSF13B,2.0930252,1.3485143,0.036346896211673814,0.8658021882913682
AHNAK,2.0669403,0.3623765,0.03873977891895407,0.9081919158086085
RASSF3,2.0619564,0.6566465,0.039211886772435346,0.9143289362701983
P2RY13,2.0534914,0.5464895,0.040024939734938154,0.9249659255342977
GUK1,2.0395977,0.13134691,0.04139039733026821,0.9461384312388448
SYNE3,2.0340772,1.2962458,0.041943811622071434,0.9561940384263024
EVI2A,2.0244622,0.24687204,0.042922627246357155,0.9693264091412588
SERF2,2.0067348,0.079944074,0.04477791495678116,0.9965304270500559
CD44,2.004327,0.16343574,0.04503502952656153,1.0
RAB3D,1.9941753,1.0585972,0.046132900525371064,1.0
C19orf43,1.9852656,0.050527107,0.047114927925986934,1.0
COPA,1.9698231,0.5474084,0.04885863968119535,1.0
LRRC25,1.9667869,0.40344763,0.049207791996408144,1.0
TSPO,1.9462224,0.1597344,0.051628022116984106,1.0
LAT,1.9442749,1.2575511,0.0518623083780548,1.0
SSR4,1.9407939,0.07400838,0.052283287787383115,1.0
LINC00937,1.9269615,1.9649172,0.05398441649823095,1.0
GTF3A,1.9209043,0.19215874,0.054743782123139705,1.0
MEGF9,1.9207509,1.0001205,0.054763121596447036,1.0
FAM118A,1.9116725,1.1976248,0.05591821281123483,1.0
LFNG,1.901674,0.73391134,0.05721378338852159,1.0
ARPC5L,1.8830112,0.43635124,0.05969884729824827,1.0
FAM120A,1.8800975,0.45833167,0.060094783830535986,1.0
NUTM2B-AS1,1.8783033,0.52794224,0.06033967882365632,1.0
IKZF1,1.8769845,0.3849808,0.06052021415685154,1.0
UBXN1,1.8722306,0.1255964,0.06117470020410658,1.0
BRK1,1.8613274,0.09293388,0.06269795583061129,1.0
LAMTOR1,1.8479246,0.16370784,0.06461326112127652,1.0
ENTPD1,1.8303351,0.48368034,0.06719983363641428,1.0
RP11-65I12.1,1.8278202,2.4894373,0.06757653654425164,1.0
SPN,1.8222076,0.40354547,0.06842349439284935,1.0
DONSON,1.8167943,2.1544275,0.06924861655898733,1.0
KCTD12,1.8152914,0.3761507,0.06947913116852453,1.0
CD99,1.8133899,0.25690272,0.06977170535661098,1.0
GIMAP4,1.8093568,0.23133859,0.07039559362781583,1.0
SSR2,1.809326,0.09624923,0.07040035550218968,1.0
TRAF3IP3,1.8031307,0.21488203,0.07136768614119925,1.0
FAM107B,1.7951258,0.40616676,0.07263365715336569,1.0
GSTP1,1.7933776,0.06535136,0.07291256503139885,1.0
RP5-1171I10.5,1.7884244,0.15640493,0.0737075663765591,1.0
DUSP22,1.7848053,0.56366843,0.07429290418297364,1.0
UTRN,1.7812169,0.31915122,0.07487702650951554,1.0
FAM49B,1.773856,0.1543013,0.07608696578905945,1.0
CAPZA1,1.771203,0.18697971,0.07652693912466428,1.0
C19orf53,1.7667559,0.12786445,0.07726911844694621,1.0
SERPINB1,1.7548712,0.23816524,0.07928134199797687,1.0
CYTH4,1.7514975,0.419974,0.0798602556208398,1.0
RAB27A,1.7406095,0.69896656,0.08175204052494928,1.0
AKNA,1.7396895,0.4433838,0.08191356180348755,1.0
CD8A,1.7383859,2.3980377,0.08214282661684191,1.0
RILPL2,1.7378953,0.25203565,0.08222927278979353,1.0
RPL18A,1.7343068,0.08192869,0.08286365472195097,1.0
PRR13,1.7320832,0.08253727,0.08325874094843104,1.0
SORL1,1.7277741,0.4337683,0.08402873440837401,1.0
GCA,1.7184503,0.29975277,0.08571450246975153,1.0
ANP32B,1.7175916,0.14464647,0.0858711355706291,1.0
EEF1D,1.7157054,0.03744986,0.08621598091956091,1.0
GNB2L1,1.7139418,0.031742208,0.08653940836012072,1.0
GIT2,1.7016125,0.45944968,0.0888280470390593,1.0
EIF3E,1.7005236,0.033049077,0.08903247510643351,1.0
KCNK6,1.6950951,0.5270807,0.09005739874681012,1.0
JTB,1.6885777,0.1160179,0.09130040713422183,1.0
CREB5,1.6695774,0.90259314,0.09500300145973006,1.0
JAML,1.6683353,0.2247626,0.09524918910690948,1.0
GPX4,1.6639341,0.06926679,0.09612559879273129,1.0
GNAI2,1.6610512,0.13662149,0.0967031829476102,1.0
ATP5L,1.65688,0.08169934,0.0975437463858065,1.0
GABPB1-AS1,1.654549,0.26341763,0.09801601035356673,1.0
SMARCD2,1.6387233,0.9131891,0.10127091728132688,1.0
RPS19BP1,1.6311324,0.23940313,0.10286239742666241,1.0
CYP1B1,1.6206585,1.4426994,0.10509090377910102,1.0
FCGR2A,1.5835016,0.3557079,0.1133071939171975,1.0
MALAT1,1.5743158,0.07414252,0.1154144520848893,1.0
PABPN1,1.567415,0.39408094,0.11701771122946811,1.0
POU2F2,1.5429555,0.14123411,0.12284155710395225,1.0
CTNNB1,1.5426795,0.39535978,0.12290854963768068,1.0
LSM12,1.5424495,0.673642,0.12296439854516647,1.0
C14orf2,1.5379256,0.049526684,0.12406679319070701,1.0
PRAM1,1.5371742,0.5340937,0.12425064734841929,1.0
CD8B,1.5298134,2.265291,0.1260629254023349,1.0
DDX17,1.5163032,0.15157387,0.12944270846467437,1.0
OSBPL8,1.509111,0.3319666,0.13127041385409055,1.0
LAPTM4B,1.5044491,1.6014472,0.1324657564924429,1.0
PMAIP1,1.5009067,0.32666487,0.13337968310075132,1.0
MTMR11,1.495156,0.88446665,0.13487371107519094,1.0
SIGIRR,1.4901875,0.347874,0.13617493767504082,1.0
SH3KBP1,1.4844829,0.36155584,0.13768086616856115,1.0
SEMA4D,1.4814159,0.63913786,0.13849579505659348,1.0
TUBA4A,1.479407,0.28818795,0.13903158435540522,1.0
EIF3M,1.4792689,0.12886573,0.13906845282193822,1.0
PRPF38B,1.4788089,0.25591815,0.1391914020834347,1.0
LSM4,1.4531993,0.24449827,0.14616843304259833,1.0
NINJ1,1.4495802,0.30872792,0.147175622221258,1.0
MAP3K7CL,1.4473413,1.1937287,0.1478013653913141,1.0
ITGAE,1.4436455,0.4553931,0.1488387151089194,1.0
RBM6,1.442112,0.3971924,0.14927077885871332,1.0
ANKRD13D,1.441882,0.627198,0.14933567089787406,1.0
RPS5,1.4411919,0.03731969,0.14953047618839158,1.0
PLP2,1.43607,0.21041662,0.15098242956383723,1.0
ZNF467,1.4270376,0.71819174,0.1535690540802234,1.0
RASA4,1.4238479,1.0037017,0.15449050304896655,1.0
HIPK2,1.4221457,0.8277471,0.15498395365820447,1.0
ZNF302,1.4211797,0.4821336,0.15526455215702198,1.0
SEPT1,1.4138801,0.29647014,0.15739710927689443,1.0
NUMB,1.4136348,0.36482126,0.15746917554701634,1.0
CD70,1.4125459,2.6239367,0.15778927129945763,1.0
RPL28,1.4063966,0.057684537,0.15960639614062166,1.0
ELP2,1.3982843,0.6161491,0.16202770647193854,1.0
NIPBL,1.389298,0.39908773,0.16474216700456024,1.0
ELOF1,1.381477,0.34671602,0.16713232850416637,1.0
LINC00861,1.3800509,1.5408211,0.16757097656566888,1.0
ZNF518A,1.3742388,0.6042626,0.16936753090759238,1.0
UPP1,1.3715246,0.49674872,0.17021148684605747,1.0
LRRFIP1,1.3670927,0.113757774,0.17159623936423174,1.0
AGTRAP,1.3663106,0.30431694,0.17184148034164604,1.0
RAB29,1.363719,0.48062453,0.17265601633830474,1.0
KCNN4,1.3605907,0.97677946,0.1736430852469436,1.0
RETN,1.3596859,0.48533174,0.1739293456289791,1.0
C1orf174,1.3562968,0.71060747,0.17500474270951094,1.0
DEDD2,1.3546866,0.38792866,0.1755174135090659,1.0
STX11,1.3508989,0.35066548,0.17672782676330712,1.0
PYHIN1,1.3507762,0.6677157,0.1767671341683158,1.0
NUP50,1.340885,0.6488989,0.17995777157314052,1.0
TRAT1,1.3354257,1.8430754,0.181737033947301,1.0
BRI3,1.3350884,0.1653275,0.1818474150694418,1.0
TRABD,1.3328955,0.3904774,0.18256610495210746,1.0
BCL11B,1.3311319,2.9872367,0.18314559840871558,1.0
LCP1,1.3301659,0.08998122,0.1834636373813462,1.0
GOLGA4,1.3260407,0.35825902,0.1848262173110089,1.0
TRADD,1.3200446,0.36318848,0.18682010200047894,1.0
LYPLA2,1.3137573,0.5893656,0.18892789494570217,1.0
NOTCH2,1.3126838,0.36158705,0.1892895075799762,1.0
CASP1,1.3061818,0.15079711,0.19149075614020805,1.0
IFNG,1.302532,1.0839143,0.19273458543631838,1.0
TMEM167A,1.3021026,0.25632676,0.19288130774420287,1.0
GNAQ,1.2997257,0.3912042,0.19369500540985718,1.0
H2AFZ,1.2975634,0.05659503,0.1944373945801361,1.0
NACC2,1.2898959,1.0813253,0.19708680906255982,1.0
TNFRSF1A,1.2898653,0.43045607,0.19709745952884272,1.0
RPS18,1.2893438,0.072026454,0.1972785819268713,1.0
BTBD7,1.2891905,0.8080096,0.19733187639913963,1.0
MAP3K2,1.2865988,0.32748893,0.1982341474609569,1.0
IDS,1.285832,0.2852618,0.19850166906406097,1.0
SUSD3,1.2828724,0.6034938,0.1995367785516946,1.0
SLC11A1,1.2806488,0.3359491,0.20031704162968245,1.0
AL928768.3,1.2790387,0.8864001,0.20088344859443175,1.0
PIAS1,1.2785786,0.37055632,0.2010454935923235,1.0
CD302,1.2772598,0.3314553,0.20151055108507976,1.0
ARPC5,1.2748675,0.0724286,0.2023561451109911,1.0
KPNB1,1.2700369,0.2611009,0.20407147093483624,1.0
KLF13,1.2696075,0.3623053,0.20422445482929863,1.0
CCR1,1.2623388,0.55488753,0.20682692687643411,1.0
IL6R,1.262308,0.6745697,0.2068379585375213,1.0
RAB11FIP1,1.261572,0.44034493,0.20710284654820088,1.0
IGHG2,1.2597318,0.5043925,0.20776614342805366,1.0
THBD,1.2563887,0.51496166,0.20897507223897804,1.0
PTP4A3,1.25599,0.94930094,0.20911959588075502,1.0
MT-ATP6,1.2495033,0.0037617122,0.2114810633945906,1.0
LIMD2,1.2480158,0.037403714,0.21202528868219372,1.0
NSD1,1.247709,0.31039816,0.21213762580796935,1.0
CNN2,1.2455622,0.22455734,0.21292518992766118,1.0
TFEB,1.2432618,0.54107165,0.21377134886176763,1.0
EMB,1.2428325,0.41742456,0.21392956685365283,1.0
KIF13A,1.2396581,2.001542,0.21510187103118628,1.0
CCNY,1.2392287,0.5811215,0.21526079833849987,1.0
EIF3H,1.2351803,0.052001048,0.2167634166023672,1.0
GCHFR,1.2316992,0.5832949,0.21806146331834309,1.0
GLIPR2,1.2314845,0.33274513,0.21814170157980772,1.0
OXLD1,1.2294296,0.52793443,0.21891077004661774,1.0
DOK3,1.2274821,0.49515465,0.21964145888255404,1.0
SPOCK2,1.2182504,0.65652484,0.22312885536270832,1.0
VHL,1.2169315,0.6958862,0.2236302712676438,1.0
PTPN12,1.2136651,0.5696435,0.22487561862154792,1.0
